id,language,fix_status,full_file,file_diff,expected_smells
1,DotNet,before_fix,"public void Save() {
    var client = new HttpClient();
    var result = client.GetAsync(""http://localhost:5000/test"").Result;
}","- var result = client.GetAsync(""http://localhost:5000/test"").Result;
+ var result = await client.GetAsync(""https://api.example.com/test"");","async,hardcoded_localhost"
2,DotNet,after_fix,"public async Task SaveAsync() {
    var client = new HttpClient();
    var result = await client.GetAsync(""https://api.example.com/test"");
}","N/A","none"
3,Angular,before_fix,"ngOnInit() {
    this.subscription = this.service.getData().subscribe(data => {
        this.data = data;
    });
}","- this.subscription = this.service.getData().subscribe(...)
+ this.store.select(selectData).subscribe(...);","unsubscribed_observable,state_management_violation"
4,Angular,after_fix,"ngOnInit() {
    this.data$ = this.store.select(selectData);
}","N/A","none"
5,DotNet,before_fix,"public void Process() {
    if (user != null) {
        if (user.Address != null) {
            if (user.Address.Zip != null) {
                Console.WriteLine(user.Address.Zip);
            }
        }
    }
}","- if (user != null) {
-     if (user.Address != null) {
-         if (user.Address.Zip != null) {
+ if (user?.Address?.Zip != null) {","deep_nesting"
6,DotNet,after_fix,"public void Process() {
    if (user?.Address?.Zip != null) {
        Console.WriteLine(user.Address.Zip);
    }
}","N/A","none"
7,Angular,before_fix,"let value = 5;
if (value == null) {
  console.log('Value is null');
}","- if (value == null)
+ if (!value)","null_check"
8,DotNet,before_fix,"// var test = service.GetTest();
// Console.WriteLine(test);","- // var test = service.GetTest();
- // Console.WriteLine(test);","commented_code"
9,DotNet,before_fix,"public void Unused() {
    var unused = 42;
}","N/A","unused_code"
10,Angular,before_fix,"const val = 10;
const val2 = 10;","N/A","duplicate_code"
11,Angular,after_fix,"const val = 10;","- const val2 = 10;","none"
12,DotNet,before_fix,"try {
    var result = service.Call();
} catch {}","- catch {}
+ catch(Exception ex) { Log.Error(ex); }","exception"
id,language,fix_status,full_file,file_diff,expected_smells
13,Angular,before_fix,"ngOnInit() {
  this.service.setUser(user);
}","- this.service.setUser(user);
+ this.store.dispatch(setUser({ user }));","state_management_violation"
14,Angular,after_fix,"ngOnInit() {
  this.store.dispatch(setUser({ user }));
}","N/A","none"
15,DotNet,before_fix,"public void Calculate() {
    var a = 5;
    var b = 5;
    var c = 10;
}","- var a = 5;
- var b = 5;","duplicate_code"
